title,date_timestamp,url
Africa Trading Galore,2023-10-19 08:00:00,https://announcements.bybit.com/en-US/article/africa-trading-galore-blt33c3e6e605d71b9d/
Pop Social (PPT) on Bybit Web3 IDO: Snapshot Period Starts Soon,2023-10-19 09:58:43,https://announcements.bybit.com/en-US/article/pop-social-ppt-on-bybit-web3-ido-snapshot-period-starts-soon-bltb0edd0245d8df802/
"Changes to Funding Rate Intervals and Funding Rate limit for ORBSUSDT Perpetual Contracts Oct 19, 2023, 1:00PM UTC",2023-10-19 12:52:21,https://announcements.bybit.com/en-US/article/changes-to-funding-rate-intervals-and-funding-rate-limit-for-orbsusdt-perpetual-contracts-oct-19-2023-1-00pm-utc-bltd6f37abf9e4041b7/
Adjustment of Upper and Lower limit of Funding rate for SLPUSDT、EGLDUSDT、FLOWUSDT、FITFIUSDT、SOLUSDT Perpetual Contracts,2023-10-20 03:34:04,https://announcements.bybit.com/en-US/article/adjustment-of-upper-and-lower-limit-of-funding-rate-for-slpusdt-egldusdt-flowusdt-fitfiusdt-solusdt-perpetual-contracts-blta61c35cc70f9342e/
"Referral Leaderboard Challenge: Refer a Friend, Climb Leaderboards, and Share 45,000 USDT",2023-10-20 07:03:24,https://announcements.bybit.com/en-US/article/referral-leaderboard-challenge-refer-a-friend-climb-leaderboards-and-share-45-000-usdt-blt836281f99fd8c286/
"Join Master Trader Bootcamp to Unlock Up to 20,000 USDT in Rewards",2023-10-20 07:31:07,https://announcements.bybit.com/en-US/article/join-master-trader-bootcamp-to-unlock-up-to-20-000-usdt-in-rewards-blt872dfffd28b92b15/
🔥 New 10000STARLUSDT Contract,2023-10-20 09:00:00,https://announcements.bybit.com/en-US/article/-new-10000starlusdt-contract-bltb65f896b4f03379d/
Latam Fiat Giveaway: Deposit & Trade to Earn Rewards,2023-10-20 10:00:00,https://announcements.bybit.com/en-US/article/latam-fiat-giveaway-deposit-trade-to-earn-rewards-blt171a0f44286e239f/
MIBR NFT Collection Drop — Grab a Piece of E-sports History,2023-10-20 11:00:00,https://announcements.bybit.com/en-US/article/mibr-nft-collection-drop-grab-a-piece-of-e-sports-history-bltaab4c722108a87a6/
Velocity Series: Embark on Snowfro's Artistic Odyssey,2023-10-20 12:00:00,https://announcements.bybit.com/en-US/article/velocity-series-embark-on-snowfro-s-artistic-odyssey-blt2df1cf3b249e980a/
Changes To Tick Size for USDT  Perpetual Contracts,2023-10-20 14:46:42,https://announcements.bybit.com/en-US/article/changes-to-tick-size-for-usdt-perpetual-contracts-blt40e511d72dcd279f/
Bybit Quests: Learn How To Use Bybit Card and Stand to Win 25 USDT,2023-10-21 01:29:59,https://announcements.bybit.com/en-US/article/bybit-quests-learn-how-to-use-bybit-card-and-stand-to-win-25-usdt-bltb34e8b7d0c5b56f2/
Bybit Community Prediction Draw: Predict SOL Price and Win 200 USDT! 🔮,2023-10-21 14:08:33,https://announcements.bybit.com/en-US/article/bybit-community-prediction-draw-predict-sol-price-and-win-200-usdt--blt38fb564ddb0d775e/
Special Offer: Looking for a New Crypto Card?,2023-10-21 15:38:33,https://announcements.bybit.com/en-US/article/special-offer-looking-for-a-new-crypto-card--bltaa691019e4782034/
